Throughput,Cons_Node0,Cons_Node1,Cons_Node2,Cons_Total
751.045,63.823,120.71,63.823,36887.84053
753.071,64.1257,121.315,64.1257,37137.40693
755.109,64.4293,121.923,64.4293,37388.18853
757.158,64.7337,122.531,64.7337,37640.18693
759.217,65.0389,123.142,65.0389,37893.40673
761.24,65.345,123.754,65.345,38147.85073
763.274,65.6518,124.368,65.6518,38403.52233
765.318,65.9595,124.983,65.9595,38660.42433
767.374,66.268,125.6,66.268,38918.56033
769.391,66.5774,126.219,66.5774,39177.93413
771.419,66.8875,126.839,66.8875,39438.54813
773.457,67.1984,127.461,67.1984,39700.40593
775.506,67.5102,128.084,67.5102,39963.51033
777.567,67.8228,128.71,67.8228,40227.86593
779.587,68.1362,129.336,68.1362,40493.47433
781.618,68.4505,129.965,68.4505,40760.34033
783.66,68.7655,130.595,68.7655,41028.46633
785.712,69.0814,131.227,69.0814,41297.85613
787.724,69.3981,131.86,69.3981,41568.51233
789.797,69.7156,132.495,69.7156,41840.43853
791.83,70.034,133.132,70.034,42113.63853
793.873,70.3531,133.77,70.3531,42388.11473
795.874,70.6731,134.41,70.6731,42663.87093
797.937,70.9939,135.052,70.9939,42940.91073
799.959,71.3155,135.695,71.3155,43219.23673
801.99,71.6379,136.34,71.6379,43498.85253
804.032,71.9612,136.986,71.9612,43779.76093
806.084,72.2853,137.635,72.2853,44061.96653
808.147,72.6102,138.284,72.6102,44345.47093
810.166,72.9359,138.936,72.9359,44630.27873
812.195,73.2624,139.589,73.2624,44916.39253
814.234,73.5897,140.243,73.5897,45203.81493
816.283,73.9179,140.9,73.9179,45492.55073
818.287,74.2469,141.558,74.2469,45782.60253
820.357,74.5767,142.217,74.5767,46073.97293
822.38,74.9073,142.879,74.9073,46366.66653
824.414,75.2388,143.542,75.2388,46660.68613
826.458,75.571,144.206,75.571,46956.03413
828.512,75.9041,144.872,75.9041,47252.71433
830.519,76.238,145.54,76.238,47550.73033
832.594,76.5727,146.209,76.5727,47850.08473
834.62,76.9083,146.881,76.9083,48150.78233
836.657,77.2447,147.553,77.2446,48452.82463
838.704,77.5818,148.228,77.5818,48756.21623
840.76,77.9199,148.904,77.9198,49060.95993
842.768,78.2587,149.581,78.2587,49367.05833
844.785,78.5983,150.261,78.5983,49674.51593
846.872,78.9388,150.942,78.9388,49983.33553
848.908,79.2801,151.624,79.2801,50293.51973
850.955,79.6222,152.308,79.6222,50605.07213
852.951,79.9651,152.994,79.9651,50917.99633
855.017,80.3088,153.682,80.3088,51232.29593
857.032,80.6534,154.371,80.6534,51547.97373
859.057,80.9988,155.062,80.9988,51865.03333
861.091,81.3449,155.754,81.3449,52183.47713
863.135,81.692,156.448,81.692,52503.30913
865.189,82.0398,157.144,82.0398,52824.53273
867.252,82.3885,157.841,82.3884,53147.15063
869.262,82.7379,158.54,82.7379,53471.16643
871.282,83.0882,159.24,83.0882,53796.58283
873.374,83.4393,159.943,83.4393,54123.40443
875.413,83.7913,160.647,83.7913,54451.63403
877.397,84.144,161.352,84.144,54781.27403
879.455,84.4976,162.059,84.4976,55112.32823
881.522,84.852,162.768,84.852,55444.80023
883.534,85.2072,163.478,85.2072,55778.69263
885.556,85.5632,164.19,85.5632,56114.00903
887.586,85.9201,164.904,85.9201,56450.75323
889.626,86.2777,165.619,86.2777,56788.92763
891.675,86.6362,166.336,86.6362,57128.53603
893.734,86.9955,167.055,86.9955,57469.58203
895.735,87.3556,167.775,87.3556,57812.06823
897.812,87.7166,168.497,87.7166,58155.99843
899.832,88.0783,169.221,88.0783,58501.37603
901.861,88.4409,169.946,88.4409,58848.20383
903.899,88.8043,170.673,88.8043,59196.48543
905.946,89.1685,171.401,89.1685,59546.22343
908.002,89.5336,172.131,89.5336,59897.42163
909.999,89.8994,172.863,89.8994,60250.08343
912.074,90.2661,173.596,90.2661,60604.21163
914.089,90.6336,174.331,90.6336,60959.80983
916.182,91.002,175.068,91.002,61316.88183
918.215,91.3711,175.806,91.3711,61675.43003
920.257,91.7411,176.546,91.7411,62035.45823
922.238,92.1119,177.288,92.1118,62396.96993
924.298,92.4835,178.031,92.4834,62759.96783
926.367,92.8559,178.776,92.8559,63124.45563
928.373,93.2291,179.522,93.2291,63490.43583
930.389,93.6032,180.27,93.6032,63857.91223
932.485,93.9781,181.02,93.9781,64226.88843
934.519,94.3538,181.772,94.3538,64597.36803
936.561,94.7303,182.525,94.7303,64969.35363
938.539,95.1076,183.279,95.1076,65342.84783
940.598,95.4858,184.036,95.4858,65717.85543
942.667,95.8648,184.793,95.8647,66094.37793
944.671,96.2445,185.553,96.2445,66472.41993
946.758,96.6252,186.314,96.6252,66851.98433
948.779,97.0066,187.077,97.0066,67233.07453
950.808,97.3889,187.842,97.3889,67615.69433
952.847,97.7719,188.608,97.7719,67999.84613
954.894,98.1558,189.376,98.1558,68385.53373
956.873,98.5405,190.145,98.5405,68772.75973
958.938,98.9261,190.916,98.9261,69161.52793
961.011,99.3124,191.689,99.3124,69551.84173
963.017,99.6996,192.463,99.6996,69943.70393
965.03,100.088,193.239,100.088,70337.11893
967.13,100.476,194.017,100.476,70732.08793
969.161,100.866,194.796,100.866,71128.61593
971.2,101.256,195.577,101.256,71526.70493
973.248,101.648,196.359,101.648,71926.35993
975.225,102.04,197.144,102.04,72327.58393
977.29,102.433,197.929,102.433,72730.37893
979.364,102.826,198.717,102.826,73134.74793
981.366,103.221,199.506,103.221,73540.69593
983.377,103.616,200.297,103.616,73948.22493
985.476,104.013,201.089,104.013,74357.33993
987.504,104.41,201.883,104.41,74768.04293
989.54,104.807,202.679,104.807,75180.33593
991.584,105.206,203.476,105.206,75594.22393
993.636,105.606,204.275,105.606,76009.71093
995.615,106.006,205.076,106.006,76426.79893
997.684,106.407,205.878,106.407,76845.49093
998.68,106.808,206.681,106.808,77265.78793
998.68,107.21,207.485,107.21,77687.69293
998.68,107.613,208.29,107.613,78111.20893
998.68,108.017,209.097,108.017,78536.33993
998.68,108.421,209.906,108.421,78963.08793
998.68,108.827,210.717,108.827,79391.45893
998.68,109.233,211.53,109.233,79821.45493
